year,month,month_name,total_flights,unique_aircraft,avg_daily_flights,avg_daily_unique_aircraft,days_in_month
2021,1,January,1783378,96805,57528.32258064516,25165.225806451614,31
2021,2,February,1617832,95149,57779.71428571428,25346.89285714286,28
2021,3,March,2079420,106961,69314.0,29378.6,30
2021,4,April,2227348,110963,74244.93333333333,30857.3,30
2021,5,May,2278280,113312,75942.66666666667,31660.966666666667,30
2021,6,June,2540474,115044,84682.46666666666,33747.36666666667,30
2021,7,July,2840184,117142,91618.83870967742,35029.45161290323,31
2021,8,August,2794390,114898,90141.6129032258,33975.032258064515,31
2021,9,September,2696437,116540,89881.23333333334,34570.53333333333,30
2021,10,October,2726239,115352,87943.19354838709,33742.16129032258,31
2021,11,November,2497914,112248,86134.96551724138,33296.65517241379,29
2021,12,December,2561518,107412,82629.6129032258,31242.16129032258,31
