day,unique_icao24_count
2022-12-01,35617
2022-12-02,36251
2022-12-03,31005
2022-12-04,32429
2022-12-05,33429
2022-12-06,33031
2022-12-07,33776
2022-12-08,36413
2022-12-09,36345
2022-12-10,31275
2022-12-11,28417
2022-12-12,32310
2022-12-13,35427
2022-12-14,34629
2022-12-15,34647
2022-12-16,37047
2022-12-17,34749
2022-12-18,32624
2022-12-19,34285
2022-12-20,35182
2022-12-21,35662
2022-12-22,29800
2022-12-23,20874
2022-12-24,18404
2022-12-25,15050
2022-12-26,21481
2022-12-27,31733
2022-12-28,33651
2022-12-29,33078
2022-12-30,32297
2022-12-31,26012
